GATE_HI_SH: -2816.101><645.9377><-1783.035><859.9543><1><0
GATE_DP_SH: 2862.908><-1049.46><1620.776><-1090.842><1><0
GATE_SH_SL: 2179.16><315.4463><1568.788><115.5331><1><0
GATE_SH_UW: 3732.972><56.80855><2317.961><-270.3459><0><0
SH_A04: 832.314><32.95666><658.1551><-68.06356><1><1
SH_A05: -1287.686><298.9563><-446.8449><466.9366><0><1
SH_A06: -258.6865><93.9566><-258.8448><186.9364><1><1
SH_A07: 314.3138><-24.04338><219.1551><-91.06366><1><1
SH_A08: 805.3135><36.95662><815.1551><-200.0634><2><1
SH_A09: 659.3135><37.95659><654.1551><-237.0634><2><1
SH_A10: 353.3135><604.956><223.155><531.9362><1><1
SH_A11: -1795.686><349.9564><-1050.845><552.9362><1><1
SH_A12: -1648.686><362.9564><-898.8449><594.9365><1><1
SH_A13: -1817.686><456.9564><-1045.845><784.9365><1><1
SH_A14: -1646.686><459.9564><-853.8449><798.9365><1><1
SH_A15: -1683.686><246.9561><-899.8449><455.9366><1><1
SH_A16: -555.687><-108.0439><-363.8449><2.935994><2><1
SH_A17: -697.6865><-203.0438><-621.8445><-36.06371><2><1
SH_A19: 291.3134><-135.0439><198.1551><-224.0637><1><1
SH_A21: -249.6865><298.9563><109.155><616.9365><0><1
SH_A22: 108.3134><-212.0436><26.15518><-232.0634><2><1
SH_A23: 617.3135><-63.04357><494.1552><-210.0634><1><1
SH_A24: -521.687><-219.0436><-516.8449><-181.0634><1><1
SH_A25: -1947.686><355.9564><-1168.847><576.9365><1><1
SH_A26: 1020.534><28.8524><786.5024><-65.29586><1><1
SH_B01: -958.6865><297.9563><-450.8449><616.9365><0><1
SH_B02: -22.68691><92.95662><-126.8448><189.9364><1><1
SH_B03: 202.3135><235.9561><97.15518><197.9364><1><1
SH_B04: 549.3135><30.95666><398.1552><-57.06356><1><1
SH_B05: 79.31318><-41.04334><-66.84475><-85.06366><1><1
SH_B06: -827.6865><-264.0436><-766.8449><-159.0634><1><1
SH_B07: 617.3132><-209.0436><391.1548><-446.0638><1><1
SH_B08: -965.827><395.5366><-330.845><740.9365><1><1
SH_B09: -1133.687><263.9565><-580.8449><503.9366><2><1
SH_B10: 181.3134><-483.044><-201.845><-597.0635><1><1
SH_B11: -623.6865><-331.0436><-637.8447><-272.0637><1><1
SH_B12: 326.3138><-321.0436><52.15518><-755.0635><0><0
SH_B13: 447.3601><-373.1161><100.554><-511.9739><1><1
SH_B15: -1206.64><56.88427><-589.446><243.0259><2><1
SH_B16: -1447.225><7.908598><-814.0855><252.4247><2><1
SH_B17: -1451.165><-113.3304><-804.6375><132.7678><2><1
SH_boggate: 3016.908><-1023.461><1732.776><-1071.842><1><0
SH_C01: -567.6866><94.95642><-203.8449><474.9366><1><1
SH_C02: -1316.686><458.9564><-700.8449><825.9365><1><1
SH_C03: -813.6865><124.9564><-476.8446><333.9363><2><1
SH_C04: 356.3135><350.9564><220.1551><217.9364><1><1
SH_C05: 676.3135><342.9564><353.1551><131.9361><1><1
SH_C07: -1729.686><-9.043401><-936.8449><137.9361><2><1
SH_C08: -251.6866><-151.0439><-401.8449><-129.0636><1><1
SH_C09: -935.6395><-110.1159><-584.446><127.0255><2><1
SH_C10: -560.6404><297.884><-219.4459><613.0261><0><1
SH_C11: -2662.951><502.5753><-1665.662><680.6819><1><0
SH_C12: 302.0403><-154.4774><134.3624><-197.3643><2><1
SH_C13: 1879.352><299.8704><1243.372><103.7423><1><0
SH_D01: -2286.684><401.9564><-1552.847><699.9365><1><1
SH_D02: -347.6869><-483.044><-637.8452><-600.0635><1><1
SH_D03: 3505.316><-13.04351><2075.155><-358.0637><0><2
SH_DPCONNECTION: 3052.908><-610.4605><1782.776><-1025.842><0><0
SH_E01: 1548.314><-190.0437><768.1551><-628.0635><0><2
SH_E02: -128.6868><-441.0436><-507.8449><-798.0635><0><1
SH_E03: 781.3135><-189.0437><204.1551><-630.0635><0><2
SH_E04: 2328.153><-191.1319><1354.276><-621.5436><0><2
SH_E05: 1273.153><300.8679><713.2751><102.456><1><1
SH_H01: 3038.153><-128.1322><1619.276><-459.5433><0><2
SH_S01: -1840.686><-40.04344><-1060.845><218.9364><2><0
SH_S02: 482.3135><254.9563><346.1551><274.9366><1><0
SH_S03: -2747.062><537.8592><-1737.53><754.0947><1><0
SH_S04: -1161.098><298.6133><-321.1853><465.2751><0><0
SH_S05: 2093.582><205.3553><1520.927><0.4844142><1><0
SH_S06: -515.23><-301.5017><-511.7072><-320.5945><1><0
SH_S07: 364.7705><-268.5017><103.2927><-385.5945><1><0
SH_S08: -441.0175><-546.3793><-509.6714><-914.8901><0><0
SH_S09: 475.4338><-398.2477><179.3882><-762.153><0><0
SH_S10: -498.4395><124.4284><-135.668><334.2273><2><0
SH_S99: 3169.908><-595.4605><1863.776><-782.8422><1><0
OffScreenDen_SH: -154.6868><-670.044><500.1552><-446.0635><1><1
Connection: GATE_HI_SH,SH_C11,45,9,3,99,0,2
Connection: GATE_HI_SH,SH_S03,36,5,13,23,3,1
Connection: GATE_DP_SH,SH_boggate,45,13,4,4,0,2
Connection: GATE_SH_SL,SH_C13,2,11,146,16,2,0
Connection: GATE_SH_SL,SH_S05,11,5,35,17,3,0
Connection: GATE_SH_UW,SH_D03,2,11,99,56,2,0
Connection: SH_A04,SH_E05,48,31,10,7,0,3
Connection: SH_A04,SH_B04,5,31,101,31,2,0
Connection: SH_A04,SH_A26,49,10,4,10,0,2
Connection: SH_A05,SH_S04,49,26,15,26,0,2
Connection: SH_A05,SH_B01,11,4,14,4,3,3
Connection: SH_A06,SH_C01,9,5,127,5,2,0
Connection: SH_A06,SH_B02,38,7,4,7,3,2
Connection: SH_A07,SH_C04,38,29,25,10,1,3
Connection: SH_A07,SH_B04,46,15,16,2,0,3
Connection: SH_A07,SH_B05,2,15,100,21,2,0
Connection: SH_A07,SH_A19,15,1,23,31,3,1
Connection: SH_A08,SH_A09,4,7,44,8,2,0
Connection: SH_A09,SH_A23,26,3,40,32,3,1
Connection: SH_A10,SH_C04,16,3,13,119,3,1
Connection: SH_A11,SH_A13,4,30,8,3,2,3
Connection: SH_A11,SH_A12,37,23,5,19,3,3
Connection: SH_A11,SH_A25,4,16,46,14,2,0
Connection: SH_A11,SH_A15,45,2,7,31,3,1
Connection: SH_A12,SH_A14,18,24,17,8,3,3
Connection: SH_A12,SH_A15,42,5,43,16,3,1
Connection: SH_A13,SH_A14,46,16,1,15,0,2
Connection: SH_A14,SH_C02,46,18,6,19,0,2
Connection: SH_A15,SH_C07,7,2,25,117,3,1
Connection: SH_A16,SH_C09,2,27,144,28,2,0
Connection: SH_A16,SH_A17,2,6,45,26,2,0
Connection: SH_A17,SH_B06,2,26,32,68,2,0
Connection: SH_A21,SH_C10,3,27,148,27,2,0
Connection: SH_A21,SH_C01,3,20,152,21,2,0
Connection: SH_A22,SH_B05,8,32,45,3,1,3
Connection: SH_A22,SH_C12,23,32,10,19,1,3
Connection: SH_A23,SH_B04,10,26,64,2,1,3
Connection: SH_A23,SH_C12,10,5,144,31,3,1
Connection: SH_A23,SH_B07,40,5,40,66,3,1
Connection: SH_A24,SH_C08,43,20,6,3,1,3
Connection: SH_A24,SH_B11,6,20,40,71,3,1
Connection: SH_A24,SH_S06,43,4,32,19,3,0
Connection: SH_A25,SH_D01,5,32,195,23,1,3
Connection: SH_A26,SH_E05,9,22,29,4,1,3
Connection: SH_B01,SH_C10,102,26,3,27,0,2
Connection: SH_B01,SH_B08,48,19,9,12,3,2
Connection: SH_B02,SH_B03,100,32,4,12,1,2
Connection: SH_B03,SH_C04,45,75,6,62,1,3
Connection: SH_B05,SH_C08,9,3,144,32,3,1
Connection: SH_B06,SH_B11,44,37,3,57,0,2
Connection: SH_B07,SH_B13,6,6,91,32,3,1
Connection: SH_B08,SH_C02,11,59,150,16,2,3
Connection: SH_B09,SH_C02,22,71,142,18,1,3
Connection: SH_B09,SH_C03,43,5,2,30,0,2
Connection: SH_B10,SH_B13,97,32,9,3,1,3
Connection: SH_B10,SH_D02,2,11,200,11,2,0
Connection: SH_B11,SH_D02,24,9,10,31,3,1
Connection: SH_B12,SH_E03,44,67,3,3,0,3
Connection: SH_B12,SH_S09,45,5,11,9,0,3
Connection: SH_B12,SH_E02,6,9,251,28,3,0
Connection: SH_B13,SH_S07,9,30,9,9,1,3
Connection: SH_B15,SH_C03,42,58,5,13,0,2
Connection: SH_B15,SH_B16,3,11,99,6,2,0
Connection: SH_B16,SH_C07,2,6,49,55,2,0
Connection: SH_B17,SH_C09,100,15,3,14,0,2
Connection: SH_B17,SH_C07,3,11,49,20,2,0
Connection: SH_boggate,SH_DPCONNECTION,47,30,37,11,0,3
Connection: SH_C01,SH_C03,19,7,81,6,3,3
Connection: SH_C03,SH_S10,146,19,17,19,0,2
Connection: SH_C04,SH_C05,41,62,5,26,3,2
Connection: SH_C04,SH_S02,46,38,16,18,0,2
Connection: SH_C05,SH_E05,142,15,2,29,0,2
Connection: SH_C07,SH_S01,11,52,29,19,3,0
Connection: SH_C11,SH_D01,38,12,19,3,3,3
Connection: SH_C13,SH_E05,2,19,243,19,2,0
Connection: SH_D02,SH_E02,118,9,68,9,3,3
Connection: SH_D03,SH_H01,6,6,195,47,3,3
Connection: SH_DPCONNECTION,SH_H01,29,232,114,19,1,3
Connection: SH_DPCONNECTION,SH_S99,32,116,22,13,1,2
Connection: SH_E01,SH_E03,20,3,247,5,3,3
Connection: SH_E01,SH_E04,245,4,16,4,3,3
Connection: SH_E02,SH_S08,10,8,11,27,3,1
Connection: SH_E04,SH_H01,250,4,11,6,3,3
